年,平均気温(℃),最高平均気温(℃),最低平均気温(℃),最高気温(℃),最低気温(℃)
1946,13.2,17.2,9.8,34.9,-4.1
1947,12,15.7,8.7,34.7,-6.3
1948,13.6,17.5,10.4,35,-4.7
1949,13.1,16.9,10,36.1,-4.2
1950,13.5,17.4,10.2,35.5,-6.6
1951,13.1,17.1,9.7,36,-7.6
1952,12.5,16.3,9.4,33.8,-4.9
1953,12.7,16.3,9.7,34.2,-6.6
1954,13,16.6,10,35.4,-4.1
1955,13.6,17.5,10.4,35.2,-4.1
1956,12.6,16.1,9.8,34.8,-6.5
1957,12.7,16.5,9.6,35.4,-4.4
1958,13.2,16.9,10.1,33.2,-5.3
1959,13.6,17.4,10.5,33.1,-4.4
1960,13.4,17.1,10.3,34.4,-4.6
1961,13.7,17.6,10.6,35.1,-6.6
1962,13.4,17.3,10.4,37.2,-3.9
1963,13.1,17,10.1,35.3,-4
1964,13.3,16.9,10.3,34.2,-3.8
1965,12.6,16.6,9.2,37.1,-4.7
1966,13,17.1,9.6,35.4,-5.4
1967,13.1,17,9.6,34.5,-9.4
1968,13.2,17,9.8,34.7,-8.3
1969,12.6,16.5,9.1,33.9,-9.5
1970,12.8,16.6,9.4,34.3,-5.2
1971,13,16.7,9.5,37.7,-6.6
1972,13.5,17.3,10,34.4,-3.9
1973,13.3,17.1,9.9,35.4,-4
1974,12.6,16.2,9.3,34.4,-6.3
1975,13.4,17,10,35.5,-5.7
1976,12.4,16.2,8.9,34.1,-6.6
1977,13.1,16.7,9.7,35.5,-5.3
1978,13.7,17.4,10.2,38.5,-10.6
1979,14.1,17.8,10.8,35.6,-3.2
1980,12.9,16.5,9.6,36,-2.9
1981,12.7,16.2,9.4,36.1,-5.7
1982,13.7,17.3,10.2,35.7,-5.6
1983,13.4,17,10.1,36.3,-8.3
1984,12.7,16.2,9.5,35.7,-7.9
1985,13.4,16.9,10.2,36.4,-6.6
1986,12.9,16.4,9.6,37.1,-4.7
1987,13.9,17.8,10.4,36.6,-4.2
1988,13,16.6,9.8,35.2,-6.6
1989,14.2,17.8,10.9,35.5,-4.8
1990,14.9,18.5,11.6,37.8,-3
1991,13.9,17.4,10.7,35.6,-3.6
1992,13.7,17.4,10.5,34.9,-2.3
1993,13.2,16.8,10,34.6,-2.9
1994,14.5,18.3,11.1,38.1,-2.5
1995,13.7,17.2,10.4,34.5,-5.9
1996,13.2,16.9,10,34.8,-3.8
1997,14,17.8,10.5,37.5,-3.9
1998,14.5,18.3,11.3,35.8,-4.9
1999,14.5,18.4,11,38.2,-2.3
2000,14.3,18.2,11,37.3,-3.9
2001,14,18.1,10.6,35.4,-2.2
2002,14.2,18.1,10.9,37,-4.2
2003,13.8,17.7,10.6,37.1,-4
2004,14.7,18.7,11.4,37,-3.1
2005,13.8,17.4,10.7,35,-4.7
2006,13.9,17.6,10.6,38,-2.2
2007,14.4,18.1,11.2,36.5,-3.2
2008,14.2,18,11,34.8,-4.1
2009,14.1,17.8,10.9,36.3,-3.7
2010,14.4,18.1,11.3,35.1,-2.8
2011,13.9,17.7,10.7,37.3,-4.2
2012,13.8,17.4,10.7,36.2,-3.8
2013,13.9,17.5,10.6,35.1,-4.4
2014,13.7,17.5,10.3,36.1,-3.4
2015,14.4,18.2,11,36,-3.5
2016,14.4,18.3,11,35.9,-4
2017,13.7,17.5,10.3,36.4,-5.9
2018,14.4,18.4,10.8,39.9,-1.8
2019,14.6,18.8,10.9,39.2,-3.7
2020,14.7,18.7,11.2,38.8,-5
2021,14.5,18.6,10.9,38.2,-3.4
2022,14.5,18.5,10.9,35.6,-2.3
