年,年平均気温,,,,
1946,13.2,,,,
1947,12,,,,
1948,13.6,,,,
1949,13.1,,,,
1950,13.5,,,,
1951,13.1,,,,
1952,12.5,,,,
1953,12.7,,,,
1954,13,,,,
1955,13.6,,,,
1956,12.6,,,,
1957,12.7,,,,
1958,13.2,,,,
1959,13.6,,,,
1960,13.4,,,,
1961,13.7,,,,
1962,13.4,,,,
1963,13.1,,,,
1964,13.3,,,,
1965,12.6,,,,
1966,13,,,,
1967,13.1,,,,
1968,13.2,,,,
1969,12.6,,,,
1970,12.8,,,,
1971,13,,,,
1972,13.5,,,,
1973,13.3,,,,
1974,12.6,,,,
1975,13.4,,,,
1976,12.4,,,,
1977,13.1,,,,
1978,13.7,,,,
1979,14.1,,,,
1980,12.9,,,,
1981,12.7,,,,
1982,13.7,,,,
1983,13.4,,,,
1984,12.7,,,,
1985,13.4,,,,
1986,12.9,,,,
1987,13.9,,,,
1988,13,,,,
1989,14.2,,,,
1990,14.9,,,,
1991,13.9,,,,
1992,13.7,,,,
1993,13.2,,,,
1994,14.5,,,,
1995,13.7,,,,
1996,13.2,,,,
1997,14,,,,
1998,14.5,,,,
1999,14.5,,,,
2000,14.3,,,,
2001,14,,,,
2002,14.2,,,,
2003,13.8,,,,
2004,14.7,,,,
2005,13.8,,,,
2006,13.9,,,,
2007,14.4,,,,
2008,14.2,,,,
2009,14.1,,,,
2010,14.4,,,,
2011,13.9,,,,
2012,13.8,,,,
2013,13.9,,,,
2014,13.7,,,,
2015,14.4,,,,
2016,14.4,,,,
2017,13.7,,,,
2018,14.4,,,,
2019,14.6,,,,
2020,14.7,,,,
2021,14.5,,,,
2022,14.5,,,,
