年,月,最高気温(℃)
1946,1,11.3
1946,2,11
1946,3,15.8
1946,4,24.6
1946,5,26.4
1946,6,31.3
1946,7,34.9
1946,8,34.6
1946,9,30.4
1946,10,31.9
1946,11,19.8
1946,12,12.8
1947,1,10.2
1947,2,6.5
1947,3,13.2
1947,4,24
1947,5,27.6
1947,6,30.3
1947,7,34.5
1947,8,34.7
1947,9,31.6
1947,10,21.7
1947,11,19.9
1947,12,12.7
1948,1,13.8
1948,2,10.1
1948,3,16.7
1948,4,23.7
1948,5,28.6
1948,6,31.2
1948,7,35
1948,8,35
1948,9,33.9
1948,10,24.9
1948,11,20
1948,12,15.7
1949,1,13.3
1949,2,12.3
1949,3,15.3
1949,4,21.5
1949,5,30.6
1949,6,29.1
1949,7,35.2
1949,8,36.1
1949,9,30.8
1949,10,22.1
1949,11,19.1
1949,12,16.2
1950,1,12
1950,2,12.7
1950,3,19.5
1950,4,24.1
1950,5,29.5
1950,6,28.7
1950,7,35.4
1950,8,35.5
1950,9,34.6
1950,10,23.6
1950,11,22.2
1950,12,12.7
1951,1,6.4
1951,2,14.7
1951,3,17.1
1951,4,22.4
1951,5,27.3
1951,6,31.9
1951,7,34.2
1951,8,36
1951,9,27
1951,10,28.6
1951,11,20.7
1951,12,14.8
1952,1,11.5
1952,2,6.3
1952,3,13.6
1952,4,26.8
1952,5,27.1
1952,6,30.3
1952,7,32.9
1952,8,33.8
1952,9,29.5
1952,10,24.6
1952,11,21.1
1952,12,13.8
1953,1,11.5
1953,2,12.8
1953,3,15.8
1953,4,24.3
1953,5,26.8
1953,6,30
1953,7,33.6
1953,8,34.2
1953,9,29.2
1953,10,24.8
1953,11,19.1
1953,12,18.2
1954,1,10.3
1954,2,17.9
1954,3,18.7
1954,4,23.4
1954,5,27.4
1954,6,26.9
1954,7,33
1954,8,33.6
1954,9,35.4
1954,10,23.8
1954,11,18.3
1954,12,18.2
1955,1,8.7
1955,2,15.7
1955,3,19.5
1955,4,26.1
1955,5,26.1
1955,6,30.2
1955,7,34.6
1955,8,35.2
1955,9,31.1
1955,10,30
1955,11,19.6
1955,12,15.9
1956,1,9.8
1956,2,10.2
1956,3,16.3
1956,4,27.8
1956,5,27.4
1956,6,31.5
1956,7,32.7
1956,8,33.7
1956,9,34.8
1956,10,25
1956,11,20.5
1956,12,13.3
1957,1,12.8
1957,2,9.8
1957,3,17.6
1957,4,25
1957,5,26.3
1957,6,28.2
1957,7,32.9
1957,8,35.4
1957,9,28.8
1957,10,26.8
1957,11,19.9
1957,12,15.2
1958,1,11.4
1958,2,17.3
1958,3,17.4
1958,4,22.5
1958,5,29.1
1958,6,31.7
1958,7,31.9
1958,8,33.2
1958,9,31.6
1958,10,25.1
1958,11,21.6
1958,12,15.9
1959,1,12.1
1959,2,14.8
1959,3,18.5
1959,4,25.5
1959,5,29.1
1959,6,28.6
1959,7,32
1959,8,33.1
1959,9,32.2
1959,10,24.1
1959,11,20.4
1959,12,17.8
1960,1,13.2
1960,2,16.2
1960,3,17.7
1960,4,24.5
1960,5,27.4
1960,6,30.2
1960,7,33.7
1960,8,34.4
1960,9,30.4
1960,10,24.9
1960,11,20.3
1960,12,12.5
1961,1,6.4
1961,2,9
1961,3,16.3
1961,4,25.7
1961,5,29.5
1961,6,29.5
1961,7,34.8
1961,8,35.1
1961,9,34.9
1961,10,29.8
1961,11,18.1
1961,12,15.9
1962,1,9.1
1962,2,16.5
1962,3,14.9
1962,4,21.4
1962,5,26.8
1962,6,29
1962,7,34.4
1962,8,37.2
1962,9,34.6
1962,10,24.2
1962,11,20.1
1962,12,14.1
1963,1,7.2
1963,2,8.5
1963,3,18.5
1963,4,26.8
1963,5,29.1
1963,6,31.7
1963,7,34
1963,8,35.3
1963,9,29.2
1963,10,23.2
1963,11,19.8
1963,12,16.7
1964,1,11.8
1964,2,6.7
1964,3,22.8
1964,4,25.4
1964,5,26.9
1964,6,27.7
1964,7,32.5
1964,8,34.2
1964,9,28.5
1964,10,23.6
1964,11,25.7
1964,12,12.6
1965,1,9.7
1965,2,11.8
1965,3,18.1
1965,4,22.1
1965,5,31
1965,6,30.2
1965,7,32.9
1965,8,37.1
1965,9,32.2
1965,10,22.9
1965,11,22.2
1965,12,13.1
1966,1,13.7
1966,2,15.9
1966,3,18.8
1966,4,25.8
1966,5,26.9
1966,6,29.3
1966,7,33.2
1966,8,35.4
1966,9,33.1
1966,10,25.7
1966,11,20.2
1966,12,12.4
1967,1,10.7
1967,2,13.5
1967,3,21.4
1967,4,25.8
1967,5,28.8
1967,6,29.5
1967,7,34.5
1967,8,33.9
1967,9,30.9
1967,10,24.8
1967,11,21.2
1967,12,13.1
1968,1,9.3
1968,2,11.7
1968,3,18.2
1968,4,22
1968,5,26.9
1968,6,29
1968,7,34.7
1968,8,32.3
1968,9,29.5
1968,10,26.4
1968,11,19.3
1968,12,18.9
1969,1,9.9
1969,2,14.7
1969,3,20.3
1969,4,26.4
1969,5,29.3
1969,6,31.9
1969,7,33.1
1969,8,33.9
1969,9,31.6
1969,10,25
1969,11,23
1969,12,13.9
1970,1,11.2
1970,2,12.9
1970,3,16.5
1970,4,23
1970,5,29.2
1970,6,29.5
1970,7,33.9
1970,8,33.9
1970,9,34.3
1970,10,29.1
1970,11,19.6
1970,12,14.5
1971,1,9.1
1971,2,12.5
1971,3,20.2
1971,4,22.1
1971,5,27
1971,6,28.3
1971,7,35.4
1971,8,37.7
1971,9,29.7
1971,10,23.1
1971,11,19.6
1971,12,12.9
1972,1,13
1972,2,12.2
1972,3,20.9
1972,4,26.5
1972,5,26.2
1972,6,30.8
1972,7,34.3
1972,8,34.4
1972,9,30.5
1972,10,25.3
1972,11,19.7
1972,12,14.4
1973,1,14.6
1973,2,12.5
1973,3,20.8
1973,4,22.6
1973,5,26.9
1973,6,26.2
1973,7,33.3
1973,8,35.4
1973,9,33.8
1973,10,24.5
1973,11,18.7
1973,12,9.5
1974,1,7.7
1974,2,9.6
1974,3,11.7
1974,4,26.3
1974,5,31.8
1974,6,28.6
1974,7,32.9
1974,8,34.4
1974,9,33.9
1974,10,25.2
1974,11,20.8
1974,12,11
1975,1,8.8
1975,2,9.5
1975,3,15.3
1975,4,27.8
1975,5,26
1975,6,26.3
1975,7,33.5
1975,8,35.5
1975,9,34
1975,10,24.6
1975,11,19.9
1975,12,14.3
1976,1,11.4
1976,2,12.6
1976,3,15.6
1976,4,24.2
1976,5,26.8
1976,6,26.4
1976,7,34.1
1976,8,31.7
1976,9,33.6
1976,10,23.3
1976,11,24.2
1976,12,12.2
1977,1,7.7
1977,2,12.2
1977,3,17.4
1977,4,21
1977,5,29.5
1977,6,30.5
1977,7,33.5
1977,8,35.5
1977,9,32.3
1977,10,25.9
1977,11,27.2
1977,12,13.1
1978,1,13
1978,2,7.8
1978,3,17.2
1978,4,27.6
1978,5,29
1978,6,33.5
1978,7,34.3
1978,8,38.5
1978,9,30.5
1978,10,25.7
1978,11,18.3
1978,12,15.8
1979,1,15.3
1979,2,18.3
1979,3,19.1
1979,4,23.3
1979,5,27
1979,6,30.4
1979,7,32.7
1979,8,35.6
1979,9,31.1
1979,10,25.9
1979,11,23.1
1979,12,16.3
1980,1,13.2
1980,2,9.8
1980,3,19.3
1980,4,23.3
1980,5,29.9
1980,6,31.1
1980,7,32.2
1980,8,32.5
1980,9,36
1980,10,25.7
1980,11,21
1980,12,15.9
1981,1,6.8
1981,2,10.3
1981,3,18
1981,4,25.3
1981,5,28.8
1981,6,27.7
1981,7,36.1
1981,8,34
1981,9,29.8
1981,10,23.3
1981,11,18.8
1981,12,15
1982,1,14
1982,2,11.6
1982,3,19.5
1982,4,25.2
1982,5,27.4
1982,6,29
1982,7,32.4
1982,8,35.7
1982,9,28.7
1982,10,24.9
1982,11,20
1982,12,20.2
1983,1,12.4
1983,2,7.7
1983,3,16.8
1983,4,27.3
1983,5,29.3
1983,6,30.1
1983,7,31.4
1983,8,36.3
1983,9,32.7
1983,10,25.7
1983,11,18.8
1983,12,13.4
1984,1,7.2
1984,2,4.5
1984,3,16.2
1984,4,22
1984,5,27
1984,6,32.4
1984,7,34.6
1984,8,35.7
1984,9,33.1
1984,10,23.9
1984,11,21.5
1984,12,16.6
1985,1,7.4
1985,2,10.6
1985,3,16.9
1985,4,24.9
1985,5,27.3
1985,6,28.4
1985,7,33.3
1985,8,36.4
1985,9,34.7
1985,10,27.3
1985,11,22.3
1985,12,13.2
1986,1,7.2
1986,2,8.3
1986,3,16.6
1986,4,26.4
1986,5,26.2
1986,6,27.6
1986,7,33.8
1986,8,37.1
1986,9,35.6
1986,10,25.6
1986,11,22
1986,12,12.8
1987,1,12.3
1987,2,15.7
1987,3,17
1987,4,30.7
1987,5,27.3
1987,6,32.6
1987,7,36.6
1987,8,36.3
1987,9,33.6
1987,10,30.9
1987,11,21.2
1987,12,17.2
1988,1,14.1
1988,2,11.4
1988,3,17.2
1988,4,22.3
1988,5,29.5
1988,6,30.5
1988,7,30.8
1988,8,35.2
1988,9,31.1
1988,10,23.4
1988,11,18
1988,12,16.4
1989,1,12
1989,2,16.9
1989,3,18.5
1989,4,25
1989,5,27
1989,6,32.8
1989,7,35.5
1989,8,34.6
1989,9,30.5
1989,10,24.8
1989,11,23.9
1989,12,17.2
1990,1,13.4
1990,2,16.6
1990,3,15.9
1990,4,23.9
1990,5,27.4
1990,6,32.9
1990,7,33.3
1990,8,37.8
1990,9,33.9
1990,10,25.6
1990,11,21
1990,12,20.3
1991,1,10.3
1991,2,12.4
1991,3,15.6
1991,4,25.4
1991,5,30.1
1991,6,32.4
1991,7,34.2
1991,8,35.6
1991,9,33.1
1991,10,24.1
1991,11,19.7
1991,12,15.7
1992,1,10.6
1992,2,15.4
1992,3,18.1
1992,4,26.2
1992,5,24.6
1992,6,29.6
1992,7,34
1992,8,34.9
1992,9,32.2
1992,10,26
1992,11,19.2
1992,12,17.6
1993,1,11.2
1993,2,18.7
1993,3,18.5
1993,4,27.6
1993,5,25.6
1993,6,27.2
1993,7,34.6
1993,8,31.8
1993,9,33.7
1993,10,24.7
1993,11,22.3
1993,12,15.8
1994,1,9.6
1994,2,14.4
1994,3,13.9
1994,4,23.8
1994,5,31.5
1994,6,29.6
1994,7,34.9
1994,8,38.1
1994,9,33.2
1994,10,29.8
1994,11,21.5
1994,12,17.7
1995,1,15
1995,2,9.7
1995,3,19.1
1995,4,25.4
1995,5,28.1
1995,6,31.3
1995,7,34.5
1995,8,34.4
1995,9,28.2
1995,10,28.4
1995,11,20.2
1995,12,11.1
1996,1,10.8
1996,2,15
1996,3,17.4
1996,4,26.2
1996,5,28.5
1996,6,29.1
1996,7,34
1996,8,34.8
1996,9,30.4
1996,10,26.2
1996,11,18.2
1996,12,14.6
1997,1,15.3
1997,2,15.5
1997,3,16.3
1997,4,23.9
1997,5,27
1997,6,30.9
1997,7,37.5
1997,8,35.2
1997,9,33
1997,10,27.3
1997,11,20.5
1997,12,14.1
1998,1,10.6
1998,2,13.1
1998,3,19.7
1998,4,29.4
1998,5,32.9
1998,6,27.8
1998,7,35.8
1998,8,33.2
1998,9,32.1
1998,10,28.4
1998,11,22.8
1998,12,14
1999,1,11.4
1999,2,14.5
1999,3,21.8
1999,4,23.7
1999,5,27.3
1999,6,30.6
1999,7,35.5
1999,8,38.2
1999,9,33.4
1999,10,32.4
1999,11,19.5
1999,12,13.7
2000,1,12.3
2000,2,9.9
2000,3,17.7
2000,4,22.5
2000,5,28.6
2000,6,30.9
2000,7,36.9
2000,8,37.3
2000,9,36.7
2000,10,25.9
2000,11,23.3
2000,12,15
2001,1,8.8
2001,2,13.2
2001,3,19.9
2001,4,26.5
2001,5,30.3
2001,6,32.6
2001,7,35.4
2001,8,35.4
2001,9,34.3
2001,10,25.2
2001,11,19.9
2001,12,13.3
2002,1,13.1
2002,2,12.4
2002,3,20
2002,4,28.5
2002,5,27.9
2002,6,31.2
2002,7,35.8
2002,8,37
2002,9,37
2002,10,27.2
2002,11,16.4
2002,12,14.6
2003,1,11.9
2003,2,13.1
2003,3,18.1
2003,4,27.1
2003,5,31.2
2003,6,30
2003,7,30.1
2003,8,33.9
2003,9,37.1
2003,10,24.4
2003,11,24.5
2003,12,14.8
2004,1,10.2
2004,2,21.3
2004,3,24.4
2004,4,25.3
2004,5,28.2
2004,6,34.7
2004,7,37
2004,8,36.2
2004,9,34.2
2004,10,26.8
2004,11,24.7
2004,12,17.7
2005,1,11.7
2005,2,8.2
2005,3,14.5
2005,4,25.7
2005,5,29.6
2005,6,32.9
2005,7,33.9
2005,8,35
2005,9,34.3
2005,10,27.5
2005,11,20.1
2005,12,11.3
2006,1,8.7
2006,2,15.7
2006,3,21.1
2006,4,23.9
2006,5,30.9
2006,6,30.5
2006,7,31.9
2006,8,38
2006,9,33.1
2006,10,24.8
2006,11,23
2006,12,13.3
2007,1,11.8
2007,2,14.7
2007,3,18.6
2007,4,24.5
2007,5,27.1
2007,6,28.8
2007,7,30.5
2007,8,36.5
2007,9,34.7
2007,10,25.3
2007,11,21
2007,12,12.9
2008,1,11.7
2008,2,11.3
2008,3,18.2
2008,4,25.7
2008,5,29.2
2008,6,29.3
2008,7,33.4
2008,8,34.8
2008,9,33.5
2008,10,26.8
2008,11,21.8
2008,12,17.6
2009,1,12.2
2009,2,15.5
2009,3,22.6
2009,4,25.4
2009,5,28.3
2009,6,32.7
2009,7,36.3
2009,8,32.1
2009,9,30.2
2009,10,24.5
2009,11,23.7
2009,12,14.5
2010,1,12.1
2010,2,19.9
2010,3,22.8
2010,4,21.3
2010,5,28.9
2010,6,30
2010,7,34.2
2010,8,35.1
2010,9,35
2010,10,26.8
2010,11,20.1
2010,12,18.1
2011,1,8.2
2011,2,18.3
2011,3,17.1
2011,4,21.5
2011,5,27.6
2011,6,29.9
2011,7,37.3
2011,8,34.8
2011,9,36.4
2011,10,26.7
2011,11,23.3
2011,12,16.1
2012,1,8
2012,2,8.9
2012,3,18.9
2012,4,28.2
2012,5,28.5
2012,6,29.4
2012,7,34.9
2012,8,35.6
2012,9,36.2
2012,10,26.1
2012,11,19.2
2012,12,14
2013,1,9.7
2013,2,12.2
2013,3,19.4
2013,4,23.5
2013,5,29.2
2013,6,33.4
2013,7,32
2013,8,35.1
2013,9,33
2013,10,30.3
2013,11,19.6
2013,12,12.7
2014,1,11.4
2014,2,14.2
2014,3,20.9
2014,4,23.1
2014,5,29.8
2014,6,31.7
2014,7,36.1
2014,8,35.2
2014,9,31.7
2014,10,26.1
2014,11,22
2014,12,16.6
2015,1,11.7
2015,2,14.8
2015,3,20.8
2015,4,26.3
2015,5,29.8
2015,6,30.9
2015,7,36
2015,8,34.5
2015,9,28.1
2015,10,26.2
2015,11,21.5
2015,12,16.6
2016,1,13.7
2016,2,14.5
2016,3,21.7
2016,4,26.7
2016,5,29.2
2016,6,30.5
2016,7,34.2
2016,8,35.9
2016,9,34.8
2016,10,29
2016,11,20.6
2016,12,16.3
2017,1,11.1
2017,2,13.3
2017,3,15.5
2017,4,25
2017,5,30.6
2017,6,27.9
2017,7,34.6
2017,8,36.4
2017,9,29.7
2017,10,26.2
2017,11,20.9
2017,12,12.7
2018,1,11.7
2018,2,9.3
2018,3,22.4
2018,4,26.9
2018,5,29.5
2018,6,33.8
2018,7,38.4
2018,8,39.9
2018,9,31.7
2018,10,33.2
2018,11,22.8
2018,12,18.7
2019,1,9.4
2019,2,14.2
2019,3,17.6
2019,4,24.7
2019,5,31.6
2019,6,28.9
2019,7,34.6
2019,8,39.2
2019,9,35.5
2019,10,27.8
2019,11,22.1
2019,12,16.2
2020,1,13.2
2020,2,15.1
2020,3,20.8
2020,4,22.6
2020,5,29.1
2020,6,30.9
2020,7,31
2020,8,35.7
2020,9,38.8
2020,10,26.6
2020,11,25.1
2020,12,14.8
2021,1,9.8
2021,2,18
2021,3,21.1
2021,4,23.8
2021,5,29.8
2021,6,32.8
2021,7,32.5
2021,8,38.2
2021,9,31.4
2021,10,30.4
2021,11,22.5
2021,12,15.1
2022,1,8.7
2022,2,11.5
2022,3,19.2
2022,4,26.2
2022,5,28.5
2022,6,33.3
2022,7,34.2
2022,8,34.9
2022,9,35.6
2022,10,29.5
2022,11,21.9
2022,12,13.2
